Sample_Kit_ID,Sample_ID,Date,Median_Time_Unix,Median_Time_Local,Local_Timezone,Mean_DO_mg_per_L,DO_sd,Mean_DO_percent_saturation,DO_percent_saturation_sd,Mean_Temp_Deg_C,Temp_sd,Respiration_Rate_mg_per_L_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Sample_Latitude,Sample_Longitude,MiniDot_Latitude,MiniDot_Longitude,MiniDot_Start_Time,MiniDot_End_Time,MiniDot_ID,pH,Contact_First_Name,Contact_Last_Name,Organization,Email,Site_Name,Stream_Name,City,State,Weather,Intermittent_or_Perennial,General_Vegetation,Hydrogeomorphology,River_Gradient,MiniDot_Sediment,Water_Temperature,Water_Depth_cm,Depositional_Type,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,Sediment_Collection_Depth_cm,MiniDot_Notes,Additional_Sampling_Notes,Hydrograph_Online,Hydrograph_Other
CM_020,CM_020-2,7/18/2022,1658174250,15:57:30,Eastern Daylight Time (UTC-4),4.36,0.17,57.87,2.47,30.16,0.23,-6.187,0.993,0.99,0.005059871,30,5,0,7.21,33.8277,-79.0449,33.8277,-79.0449,15:00:00,16:40:00,8813,6.5,Angelos,Hannides,Coastal Carolina University,ahannides@coastal.edu,Conway Marina,Waccamaw River,Conway,South Carolina,"Sunny, Followed an intense rain event from 13-14:30",Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,30.5,20,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Vessel wake (see below) moved the sensor from rock so I had to secure it in place using a peg inserted through its hole and inserted deep in the river sediment. The sensor was maintained at a 50% depth of 10 cm (total water column depth 20 cm).,Vessel wake was frequent and inevitable. I waited for water settling before sampling/resuming sampling (5 min). Not much resuspension.,https://waterdata.usgs.gov/monitoring-location/02110704/#parameterCode=00065&period=P7D,N/A
CM_020,CM_020-3,7/18/2022,1658174250,15:57:30,Eastern Daylight Time (UTC-4),4.36,0.17,57.87,2.47,30.16,0.23,-4.584,0.984,0.979,0.005644656,30,5,1,7.486666667,33.8277,-79.0449,33.8277,-79.0449,15:00:00,16:40:00,8813,6.5,Angelos,Hannides,Coastal Carolina University,ahannides@coastal.edu,Conway Marina,Waccamaw River,Conway,South Carolina,"Sunny, Followed an intense rain event from 13-14:30",Perennial,Broadleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,30.5,20,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Vessel wake (see below) moved the sensor from rock so I had to secure it in place using a peg inserted through its hole and inserted deep in the river sediment. The sensor was maintained at a 50% depth of 10 cm (total water column depth 20 cm).,Vessel wake was frequent and inevitable. I waited for water settling before sampling/resuming sampling (5 min). Not much resuspension.,https://waterdata.usgs.gov/monitoring-location/02110704/#parameterCode=00065&period=P7D,N/A
CM_021,CM_021-1,9/5/2022,1662412830,14:20:30,Mountain Standard Time (UTC-7),4.87,0.03,67.11,0.35,32.44,0.19,-1.548,0.987,0.984,0.001329665,90,7,1,8.426666667,32.3505,-111.0953,32.3505,-111.0953,13:43:00,14:43:00,135727,7,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32,25,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,N/A
CM_021,CM_021-2,9/5/2022,1662412830,14:20:30,Mountain Standard Time (UTC-7),4.87,0.03,67.11,0.35,32.44,0.19,-1.113,0.963,0.955,0.001632458,115,7,1,N/A,32.3505,-111.0953,32.3505,-111.0953,13:43:00,14:43:00,135727,7,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32,25,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,N/A
CM_021,CM_021-3,9/5/2022,1662412830,14:20:30,Mountain Standard Time (UTC-7),4.87,0.03,67.11,0.35,32.44,0.19,-1.548,0.914,0.9,0.003228918,120,8,0,8.64,32.3505,-111.0953,32.3505,-111.0953,13:43:00,14:43:00,135727,7,Christian,Ayala,University of Arizona,cayalaortiz@arizona.edu,Santa Cruz River at Cotaro Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32,25,Shallow waters near the shore,Partial coverage,Partial coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap. Sensor detached two times during the collection and move downstream through the river. Sensor was moved back upstream as soon as possible both times.,Data was taken,https://waterdata.usgs.gov/nwis/uv?site_no=09486500,N/A
CM_022,CM_022-1,9/12/2022,1663002990,10:16:30,Pacific Daylight Time (UTC-7),9.42,0.05,94.79,0.71,15.67,0.1,-1.688,0.985,0.983,0.001528726,90,7,1,8.5,44.5505,-123.2497,44.5505,-123.2497,9:15:00,11:03:00,942543,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,Willamette River MS-10 Cor,Willamette River,Corvallis,Oregon,Overcast,Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,17,17.5,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor held in place with a stick stuck into the sediment.,Area frequented by ducks and dogs.  Sediment was sandy with very few other particles.  Sediment was cut with freshwater mussel trails.  Sampling occurred in a side backwater area of the river where deposition occurred because of an eddy.,https://waterdata.usgs.gov/monitoring-location/14171600/#parameterCode=00065&period=P7D  This gauge is downriver of the site and downstream of the confluence with the Mary's River,No
CM_022,CM_022-2,9/12/2022,1663002990,10:16:30,Pacific Daylight Time (UTC-7),9.42,0.05,94.79,0.71,15.67,0.1,-1.269,0.988,0.985,0.001055878,90,7,1,8.78,44.5505,-123.2497,44.5505,-123.2497,9:15:00,11:03:00,942543,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,Willamette River MS-10 Cor,Willamette River,Corvallis,Oregon,Overcast,Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,17,17.5,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor held in place with a stick stuck into the sediment.,Area frequented by ducks and dogs.  Sediment was sandy with very few other particles.  Sediment was cut with freshwater mussel trails.  Sampling occurred in a side backwater area of the river where deposition occurred because of an eddy.,https://waterdata.usgs.gov/monitoring-location/14171600/#parameterCode=00065&period=P7D  This gauge is downriver of the site and downstream of the confluence with the Mary's River,No
CM_022,CM_022-3,9/12/2022,1663002990,10:16:30,Pacific Daylight Time (UTC-7),9.42,0.05,94.79,0.71,15.67,0.1,-2.497,0.989,0.986,0.001993422,90,7,0,8.726666667,44.5505,-123.2497,44.5505,-123.2497,9:15:00,11:03:00,942543,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,Willamette River MS-10 Cor,Willamette River,Corvallis,Oregon,Overcast,Perennial,Broadleaf deciduous tree,Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Sand,17,17.5,Shallow waters near the shore,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor held in place with a stick stuck into the sediment.,Area frequented by ducks and dogs.  Sediment was sandy with very few other particles.  Sediment was cut with freshwater mussel trails.  Sampling occurred in a side backwater area of the river where deposition occurred because of an eddy.,https://waterdata.usgs.gov/monitoring-location/14171600/#parameterCode=00065&period=P7D  This gauge is downriver of the site and downstream of the confluence with the Mary's River,No
CM_023,CM_023-1,9/12/2022,1663010940,12:29:00,Pacific Daylight Time (UTC-7),8.31,0.03,89.78,0.51,19.14,0.11,-37,1,N/A,N/A,5,2,0,3.58,44.556,-123.2769,44.556,-123.2769,11:39:00,13:04:00,629457,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,MR01 Marys River,Marys River,Corvallis,Oregon,"Overcast, partly sunny",Perennial,Needleleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),23,8,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Sensor held in place with a stick stuck in the  sediment.  Sensor positioned closer to the main channel than the sediment sampling, which was about a half meter closer to the bank.","The second sediment RNAlater tube leaked during shipping and only contained 15 ml of RNAlater.  We added 0.2micron filter sterilized homemade RNAlater up to a total of 30ml prior to sampling. Sediments included a lot of organic materials that were served out including sticks, leaves, and some evergreen needles. Sampling site was in Avery Park in Corvallis, OR. River flow was very slow. Sampling site was at the downriver end of a gravel bar positioned on an inside bend in the river. There were overhanging deciduous trees.",https://waterdata.usgs.gov/monitoring-location/14171000/ this site is some distance upriver from the sampling site.,No
CM_023,CM_023-2,9/12/2022,1663010940,12:29:00,Pacific Daylight Time (UTC-7),8.31,0.03,89.78,0.51,19.14,0.11,-26.4,1,N/A,N/A,5,2,0,2.593333333,44.556,-123.2769,44.556,-123.2769,11:39:00,13:04:00,629457,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,MR01 Marys River,Marys River,Corvallis,Oregon,"Overcast, partly sunny",Perennial,Needleleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),23,8,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Sensor held in place with a stick stuck in the  sediment.  Sensor positioned closer to the main channel than the sediment sampling, which was about a half meter closer to the bank.","The second sediment RNAlater tube leaked during shipping and only contained 15 ml of RNAlater.  We added 0.2micron filter sterilized homemade RNAlater up to a total of 30ml prior to sampling. Sediments included a lot of organic materials that were served out including sticks, leaves, and some evergreen needles. Sampling site was in Avery Park in Corvallis, OR. River flow was very slow. Sampling site was at the downriver end of a gravel bar positioned on an inside bend in the river. There were overhanging deciduous trees.",https://waterdata.usgs.gov/monitoring-location/14171000/ this site is some distance upriver from the sampling site.,No
CM_023,CM_023-3,9/12/2022,1663010940,12:29:00,Pacific Daylight Time (UTC-7),8.31,0.03,89.78,0.51,19.14,0.11,-36.64,1,N/A,N/A,5,2,0,3.503333333,44.556,-123.2769,44.556,-123.2769,11:39:00,13:04:00,629457,6.25,Byron,Crump,Oregon State University,byron.crump@oregonstate.edu,MR01 Marys River,Marys River,Corvallis,Oregon,"Overcast, partly sunny",Perennial,Needleleaf deciduous tree,Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Gravel/cobble (>2mm),23,8,Inside bend of stream,Partial coverage,No coverage,No coverage,1-3 cm as described in the protocol,"Sensor held in place with a stick stuck in the  sediment.  Sensor positioned closer to the main channel than the sediment sampling, which was about a half meter closer to the bank.","The second sediment RNAlater tube leaked during shipping and only contained 15 ml of RNAlater.  We added 0.2micron filter sterilized homemade RNAlater up to a total of 30ml prior to sampling. Sediments included a lot of organic materials that were served out including sticks, leaves, and some evergreen needles. Sampling site was in Avery Park in Corvallis, OR. River flow was very slow. Sampling site was at the downriver end of a gravel bar positioned on an inside bend in the river. There were overhanging deciduous trees.",https://waterdata.usgs.gov/monitoring-location/14171000/ this site is some distance upriver from the sampling site.,No
CM_024,CM_024-1,8/1/2022,1659372660,12:51:00,Eastern Daylight Time (UTC-4),7.27,0.02,85.82,0.37,23.66,0.07,-1.334,0.923,0.91,0.002628497,120,8,0,9.206666667,33.684,-84.4153,33.684,-84.4153,11:24:00,14:03:00,755115,6,Shuo,Chen,Idaho State University; University of Georgia,schen83@crimson.ua.edu; shuochen@isu.edu,SR24,South River,Athens,Georgia,Very cloudy and slightly riany during sampling,Perennial,"Broadleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),23.6,15,Downstream from obstacles,Partial coverage,No coverage,Full coverage,1-3 cm as described in the protocol,This DO sensor is deployed at the downstream of  USGS gauging station 02203603.,"1. The labeled filter was broken when we filtered the first nutrient sample, so that we added RNA Later immediately to preserve it. However, we changed the new filter and it was broken again when we collected the second nutrient sample. Due to all of the needled filters broken, we failed to collect the third nutrient sample. 2. The 500 mL sediment cap is lost, I used a clean cap from my lab instead. 3. The second RNA sediment tube leaked solution in the ziploc, only 20mL solution was left in it. We collect third one from the extra supplies and it was labeled as CM_24_MIC_3.",https://waterdata.usgs.gov/nwis/uv/?site_no=02203603&agency_cd=USGS,N/A
CM_024,CM_024-2,8/1/2022,1659372660,12:51:00,Eastern Daylight Time (UTC-4),7.27,0.02,85.82,0.37,23.66,0.07,-1.387,0.993,0.992,7.82E-04,120,8,0,8.46,33.684,-84.4153,33.684,-84.4153,11:24:00,14:03:00,755115,6,Shuo,Chen,Idaho State University; University of Georgia,schen83@crimson.ua.edu; shuochen@isu.edu,SR24,South River,Athens,Georgia,Very cloudy and slightly riany during sampling,Perennial,"Broadleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),23.6,15,Downstream from obstacles,Partial coverage,No coverage,Full coverage,1-3 cm as described in the protocol,This DO sensor is deployed at the downstream of  USGS gauging station 02203603.,"1. The labeled filter was broken when we filtered the first nutrient sample, so that we added RNA Later immediately to preserve it. However, we changed the new filter and it was broken again when we collected the second nutrient sample. Due to all of the needled filters broken, we failed to collect the third nutrient sample. 2. The 500 mL sediment cap is lost, I used a clean cap from my lab instead. 3. The second RNA sediment tube leaked solution in the ziploc, only 20mL solution was left in it. We collect third one from the extra supplies and it was labeled as CM_24_MIC_3.",https://waterdata.usgs.gov/nwis/uv/?site_no=02203603&agency_cd=USGS,N/A
CM_024,CM_024-3,8/1/2022,1659372660,12:51:00,Eastern Daylight Time (UTC-4),7.27,0.02,85.82,0.37,23.66,0.07,-1.432,0.98,0.976,0.001526122,90,7,1,8.65,33.684,-84.4153,33.684,-84.4153,11:24:00,14:03:00,755115,6,Shuo,Chen,Idaho State University; University of Georgia,schen83@crimson.ua.edu; shuochen@isu.edu,SR24,South River,Athens,Georgia,Very cloudy and slightly riany during sampling,Perennial,"Broadleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Bedrock (primarily),23.6,15,Downstream from obstacles,Partial coverage,No coverage,Full coverage,1-3 cm as described in the protocol,This DO sensor is deployed at the downstream of  USGS gauging station 02203603.,"1. The labeled filter was broken when we filtered the first nutrient sample, so that we added RNA Later immediately to preserve it. However, we changed the new filter and it was broken again when we collected the second nutrient sample. Due to all of the needled filters broken, we failed to collect the third nutrient sample. 2. The 500 mL sediment cap is lost, I used a clean cap from my lab instead. 3. The second RNA sediment tube leaked solution in the ziploc, only 20mL solution was left in it. We collect third one from the extra supplies and it was labeled as CM_24_MIC_3.",https://waterdata.usgs.gov/nwis/uv/?site_no=02203603&agency_cd=USGS,N/A
CM_027,CM_027-1,7/11/2022,1657558200,11:50:00,Central Daylight Time (UTC-5),10.96,0.16,152.38,2.85,32.93,0.32,-12.76,1,N/A,N/A,5,2,0,1.063333333,29.3338,-95.2832,29.3338,-95.2832,10:45:00,12:42:00,441037,7.5,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Chocolate Bayou Public Boat Ramp,Chocolate Bayou,Liverpool,Texas,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),31.6,28,"Hard to say, river was so slow flowing",No coverage,No coverage,Partial coverage,3-10cm in some places,N/A,"River was pretty flat with steep incised banks near access point except a few feet away from a boat ramp structure, which is where I sampled. I was in ankle deep mud. I thought  placed the sensor upstream, but it was apparently downstream. However, the bayou was practically a swamp and hardly flowing. Also, there was animal carcass upstream! (some large rodent like nutria)",N/A,No
CM_027,CM_027-2,7/11/2022,1657558200,11:50:00,Central Daylight Time (UTC-5),10.96,0.16,152.38,2.85,32.93,0.32,-27.64,1,N/A,N/A,5,2,0,2.313333333,29.3338,-95.2832,29.3338,-95.2832,10:45:00,12:42:00,441037,7.5,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Chocolate Bayou Public Boat Ramp,Chocolate Bayou,Liverpool,Texas,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),31.6,28,"Hard to say, river was so slow flowing",No coverage,No coverage,Partial coverage,3-10cm in some places,N/A,"River was pretty flat with steep incised banks near access point except a few feet away from a boat ramp structure, which is where I sampled. I was in ankle deep mud. I thought  placed the sensor upstream, but it was apparently downstream. However, the bayou was practically a swamp and hardly flowing. Also, there was animal carcass upstream! (some large rodent like nutria)",N/A,No
CM_027,CM_027-3,7/11/2022,1657558200,11:50:00,Central Daylight Time (UTC-5),10.96,0.16,152.38,2.85,32.93,0.32,-47.92,1,N/A,N/A,5,2,0,4.07,29.3338,-95.2832,29.3338,-95.2832,10:45:00,12:42:00,441037,7.5,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Chocolate Bayou Public Boat Ramp,Chocolate Bayou,Liverpool,Texas,Sunny,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),31.6,28,"Hard to say, river was so slow flowing",No coverage,No coverage,Partial coverage,3-10cm in some places,N/A,"River was pretty flat with steep incised banks near access point except a few feet away from a boat ramp structure, which is where I sampled. I was in ankle deep mud. I thought  placed the sensor upstream, but it was apparently downstream. However, the bayou was practically a swamp and hardly flowing. Also, there was animal carcass upstream! (some large rodent like nutria)",N/A,No
CM_028,CM_028-1,7/11/2022,1657573200,16:00:00,Central Daylight Time (UTC-5),8.1,0.23,113.29,3.26,33.25,0.05,-11.74,0.997,0.995,0.010199855,10,3,0,6.743333333,28.8318,-96.5783,28.8318,-96.5783,15:15:00,16:30:00,186138,8,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Lavaca River across boat ramp,Lavaca River/Estuary,Lolita,Texas,"Sunny, Record heat! (106F, 114F heat index!)",Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.2,28,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,It's a fairly large river/estuary. The most secure and convenient spot was downstream of nice exposed bank materials. I think the estuary was mostly tidal at this point because we are under drought. There is probably not much upstream freshwater input.,Record heat!,https://dashboard.waterdata.usgs.gov/app/nwd/?region=lower48&aoi=default,No
CM_028,CM_028-2,7/11/2022,1657573200,16:00:00,Central Daylight Time (UTC-5),8.1,0.23,113.29,3.26,33.25,0.05,-8.204,0.996,0.993,0.006389923,15,4,0,6.636666667,28.8318,-96.5783,28.8318,-96.5783,15:15:00,16:30:00,186138,8,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Lavaca River across boat ramp,Lavaca River/Estuary,Lolita,Texas,"Sunny, Record heat! (106F, 114F heat index!)",Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.2,28,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,It's a fairly large river/estuary. The most secure and convenient spot was downstream of nice exposed bank materials. I think the estuary was mostly tidal at this point because we are under drought. There is probably not much upstream freshwater input.,Record heat!,https://dashboard.waterdata.usgs.gov/app/nwd/?region=lower48&aoi=default,No
CM_028,CM_028-3,7/11/2022,1657573200,16:00:00,Central Daylight Time (UTC-5),8.1,0.23,113.29,3.26,33.25,0.05,-11.376,0.994,0.988,0.014726086,10,3,0,6.876666667,28.8318,-96.5783,28.8318,-96.5783,15:15:00,16:30:00,186138,8,Bayani,Cardenas,University of Texas at Austin,cardenas@jsg.utexas.edu,Lavaca River across boat ramp,Lavaca River/Estuary,Lolita,Texas,"Sunny, Record heat! (106F, 114F heat index!)",Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Sand,32.2,28,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,It's a fairly large river/estuary. The most secure and convenient spot was downstream of nice exposed bank materials. I think the estuary was mostly tidal at this point because we are under drought. There is probably not much upstream freshwater input.,Record heat!,https://dashboard.waterdata.usgs.gov/app/nwd/?region=lower48&aoi=default,No
CM_032,CM_032-1,10/3/2022,1664811300,10:35:00,Central Daylight Time (UTC-5),9.38,0.02,93.04,0.26,15.02,0.07,-0.56,1,N/A,N/A,5,2,0,0.046666667,46.804,-96.798,46.804,-96.798,9:33:00,11:22:00,21119,7.6,Bernhardt,Saini-Eidukat,North Dakota State University,bernhardt.sainieiduk@ndsu.edu,1481,Red River of the North,Fargo,North Dakota,Partly cloudy,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),14.6,16,Inside bend of stream,Partial coverage,No coverage,No coverage,3-10cm in some places,N/A,10 cm depth for sediment collection; latitude and longitude are on shore (not of sensor in water),N/A,No
CM_032,CM_032-2,10/3/2022,1664811300,10:35:00,Central Daylight Time (UTC-5),9.38,0.02,93.04,0.26,15.02,0.07,-2.16,1,N/A,N/A,5,2,0,0.19,46.804,-96.798,46.804,-96.798,9:33:00,11:22:00,21119,7.6,Bernhardt,Saini-Eidukat,North Dakota State University,bernhardt.sainieiduk@ndsu.edu,1481,Red River of the North,Fargo,North Dakota,Partly cloudy,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),14.6,16,Inside bend of stream,Partial coverage,No coverage,No coverage,3-10cm in some places,N/A,10 cm depth for sediment collection; latitude and longitude are on shore (not of sensor in water),N/A,No
CM_032,CM_032-3,10/3/2022,1664811300,10:35:00,Central Daylight Time (UTC-5),9.38,0.02,93.04,0.26,15.02,0.07,-0.2,1,N/A,N/A,5,2,0,0.016666667,46.804,-96.798,46.804,-96.798,9:33:00,11:22:00,21119,7.6,Bernhardt,Saini-Eidukat,North Dakota State University,bernhardt.sainieiduk@ndsu.edu,1481,Red River of the North,Fargo,North Dakota,Partly cloudy,Perennial,"Broadleaf deciduous tree, Grass",Single-channel meandering,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),14.6,16,Inside bend of stream,Partial coverage,No coverage,No coverage,3-10cm in some places,N/A,10 cm depth for sediment collection; latitude and longitude are on shore (not of sensor in water),N/A,No
CM_033,CM_033-1,9/5/2022,1662400590,10:56:30,Mountain Standard Time (UTC-7),6.33,0.04,82.03,0.69,28.8,0.8,-1.166,0.986,0.983,0.001144262,60,6,2,8.613333333,32.4713,-111.3042,32.4713,-111.3042,9:59:00,11:38:00,951812,7.5,Viviana,Freire,University of Arizona,vfreirezapata@arizona.edu,Santa Cruz River at Trico Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),28,13,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=09486520,N/A
CM_033,CM_033-2,9/5/2022,1662400590,10:56:30,Mountain Standard Time (UTC-7),6.33,0.04,82.03,0.69,28.8,0.8,-0.786,0.841,0.815,0.002321856,120,8,0,8.573333333,32.4713,-111.3042,32.4713,-111.3042,9:59:00,11:38:00,951812,7.5,Viviana,Freire,University of Arizona,vfreirezapata@arizona.edu,Santa Cruz River at Trico Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),28,13,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=09486520,N/A
CM_033,CM_033-3,9/5/2022,1662400590,10:56:30,Mountain Standard Time (UTC-7),6.33,0.04,82.03,0.69,28.8,0.8,-0.578,0.982,0.978,5.39E-04,120,8,0,8.39,32.4713,-111.3042,32.4713,-111.3042,9:59:00,11:38:00,951812,7.5,Viviana,Freire,University of Arizona,vfreirezapata@arizona.edu,Santa Cruz River at Trico Rd,Santa Cruz River,Tucson,Arizona,Sunny,Perennial,"Needleleaf deciduous tree, Shrub",Single-channel straight,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),28,13,Shallow waters near the shore,No coverage,No coverage,No coverage,1-3 cm as described in the protocol,Sensor did not came with a cap,N/A,https://waterdata.usgs.gov/nwis/uv?site_no=09486520,N/A
CM_034,CM_034-1,8/30/2022,1661866110,9:28:30,Eastern Daylight Time (UTC-4),6.22,0.11,69.32,1.2,20.7,0.06,-24.92,1,N/A,N/A,5,2,0,5.033333333,46.4979,-84.3742,46.4979,84.3742,8:42:00,10:00:00,21119,6.5,Ashley,Moerke,Lake Superior State University,amoerke@lssu.edu,Ashmun Bay,St. Marys River,"Sault Sainte Marie, MI",Michigan,"Overcast, Very windy (~15 mph)",Perennial,"Broadleaf deciduous tree, Shrub",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),20.8,60,bay,No coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,The DO sensor did not come with the black cap mentioned in the notes,It was very windy and high turbidity during sampling.,N/A,No
CM_034,CM_034-2,8/30/2022,1661866110,9:28:30,Eastern Daylight Time (UTC-4),6.22,0.11,69.32,1.2,20.7,0.06,-33.12,1,N/A,N/A,5,2,0,4.403333333,46.4979,-84.3742,46.4979,84.3742,8:42:00,10:00:00,21119,6.5,Ashley,Moerke,Lake Superior State University,amoerke@lssu.edu,Ashmun Bay,St. Marys River,"Sault Sainte Marie, MI",Michigan,"Overcast, Very windy (~15 mph)",Perennial,"Broadleaf deciduous tree, Shrub",Multi-channel,"Relatively flat/gentle gradient (e.g., valleys)",Silt/mud (<0.0625mm),20.8,60,bay,No coverage,Partial coverage,Partial coverage,1-3 cm as described in the protocol,The DO sensor did not come with the black cap mentioned in the notes,It was very windy and high turbidity during sampling.,N/A,No
